frame,can_iface,motor_id,position_rad,elapsed_ms,speed_rad_s,accel_rad_s2
45,can2,3,0.000000,898,1.600,0.500
45,can2,4,0.000000,898,1.600,0.500
45,can2,5,0.000000,898,1.600,0.500
45,can2,6,0.000000,898,1.600,0.500
45,can3,13,0.003584,898,1.600,0.500
45,can3,14,-0.000756,898,1.600,0.500
45,can3,15,0.000106,898,1.600,0.500
45,can3,16,0.002105,898,1.600,0.500
46,can2,3,0.000000,918,1.600,0.500
46,can2,4,0.000000,918,1.600,0.500
46,can2,5,0.000000,918,1.600,0.500
46,can2,6,0.000000,918,1.600,0.500
46,can3,13,0.003664,918,1.600,0.500
46,can3,14,-0.000773,918,1.600,0.500
46,can3,15,0.000108,918,1.600,0.500
46,can3,16,0.002152,918,1.600,0.500
47,can2,3,0.000000,938,1.600,0.500
47,can2,4,0.000000,938,1.600,0.500
47,can2,5,0.000000,938,1.600,0.500
47,can2,6,0.000000,938,1.600,0.500
47,can3,13,0.003743,938,1.600,0.500
47,can3,14,-0.000789,938,1.600,0.500
47,can3,15,0.000111,938,1.600,0.500
47,can3,16,0.002199,938,1.600,0.500
48,can2,3,0.000000,958,1.600,0.500
48,can2,4,0.000000,958,1.600,0.500
48,can2,5,0.000000,958,1.600,0.500
48,can2,6,0.000000,958,1.600,0.500
48,can3,13,0.003823,958,1.600,0.500
48,can3,14,-0.000806,958,1.600,0.500
48,can3,15,0.000113,958,1.600,0.500
48,can3,16,0.002245,958,1.600,0.500
49,can2,3,0.000000,978,1.600,0.500
49,can2,4,0.000000,978,1.600,0.500
49,can2,5,0.000000,978,1.600,0.500
49,can2,6,0.000000,978,1.600,0.500
49,can3,13,0.003903,978,1.600,0.500
49,can3,14,-0.000823,978,1.600,0.500
49,can3,15,0.000115,978,1.600,0.500
49,can3,16,0.002292,978,1.600,0.500
50,can2,3,0.000000,998,1.600,0.500
50,can2,4,0.000000,998,1.600,0.500
50,can2,5,0.000000,998,1.600,0.500
50,can2,6,0.000000,998,1.600,0.500
50,can3,13,0.003982,998,1.600,0.500
50,can3,14,-0.000840,998,1.600,0.500
50,can3,15,0.000118,998,1.600,0.500
50,can3,16,0.002339,998,1.600,0.500
51,can2,3,0.000000,1018,1.600,0.500
51,can2,4,0.000000,1018,1.600,0.500
51,can2,5,0.000000,1018,1.600,0.500
51,can2,6,0.000000,1018,1.600,0.500
51,can3,13,0.004062,1018,1.600,0.500
51,can3,14,-0.000857,1018,1.600,0.500
51,can3,15,0.000120,1018,1.600,0.500
51,can3,16,0.002386,1018,1.600,0.500
52,can2,3,0.000000,1038,1.600,0.500
52,can2,4,0.000000,1038,1.600,0.500
52,can2,5,0.000000,1038,1.600,0.500
52,can2,6,0.000000,1038,1.600,0.500
52,can3,13,0.004142,1038,1.600,0.500
52,can3,14,-0.000873,1038,1.600,0.500
52,can3,15,0.000122,1038,1.600,0.500
52,can3,16,0.002432,1038,1.600,0.500
53,can2,3,0.000000,1058,1.600,0.500
53,can2,4,0.000000,1058,1.600,0.500
53,can2,5,0.000000,1058,1.600,0.500
53,can2,6,0.000000,1058,1.600,0.500
53,can3,13,0.004221,1058,1.600,0.500
53,can3,14,-0.000890,1058,1.600,0.500
53,can3,15,0.000125,1058,1.600,0.500
53,can3,16,0.002479,1058,1.600,0.500
54,can2,3,0.000000,1078,1.600,0.500
54,can2,4,0.000000,1078,1.600,0.500
54,can2,5,0.000000,1078,1.600,0.500
54,can2,6,0.000000,1078,1.600,0.500
54,can3,13,0.004301,1078,1.600,0.500
54,can3,14,-0.000907,1078,1.600,0.500
54,can3,15,0.000127,1078,1.600,0.500
54,can3,16,0.002526,1078,1.600,0.500
55,can2,3,0.000000,1098,1.600,0.500
55,can2,4,0.000000,1098,1.600,0.500
55,can2,5,0.000000,1098,1.600,0.500
55,can2,6,0.000000,1098,1.600,0.500
55,can3,13,0.004380,1098,1.600,0.500
55,can3,14,-0.000924,1098,1.600,0.500
55,can3,15,0.000129,1098,1.600,0.500
55,can3,16,0.002573,1098,1.600,0.500
56,can2,3,0.000000,1118,1.600,0.500
56,can2,4,0.000000,1118,1.600,0.500
56,can2,5,0.000000,1118,1.600,0.500
56,can2,6,0.000000,1118,1.600,0.500
56,can3,13,0.004460,1118,1.600,0.500
56,can3,14,-0.000941,1118,1.600,0.500
56,can3,15,0.000132,1118,1.600,0.500
56,can3,16,0.002620,1118,1.600,0.500
57,can2,3,0.000000,1138,1.600,0.500
57,can2,4,0.000000,1138,1.600,0.500
57,can2,5,0.000000,1138,1.600,0.500
57,can2,6,0.000000,1138,1.600,0.500
57,can3,13,0.004540,1138,1.600,0.500
57,can3,14,-0.000957,1138,1.600,0.500
57,can3,15,0.000134,1138,1.600,0.500
57,can3,16,0.002666,1138,1.600,0.500
58,can2,3,0.000000,1158,1.600,0.500
58,can2,4,0.000000,1158,1.600,0.500
58,can2,5,0.000000,1158,1.600,0.500
58,can2,6,0.000000,1158,1.600,0.500
58,can3,13,0.004619,1158,1.600,0.500
58,can3,14,-0.000974,1158,1.600,0.500
58,can3,15,0.000136,1158,1.600,0.500
58,can3,16,0.002713,1158,1.600,0.500
59,can2,3,0.000000,1178,1.600,0.500
59,can2,4,0.000000,1178,1.600,0.500
59,can2,5,0.000000,1178,1.600,0.500
59,can2,6,0.000000,1178,1.600,0.500
59,can3,13,0.004699,1178,1.600,0.500
59,can3,14,-0.000991,1178,1.600,0.500
59,can3,15,0.000139,1178,1.600,0.500
59,can3,16,0.002760,1178,1.600,0.500
60,can2,3,0.000000,1198,1.600,0.500
60,can2,4,0.000000,1198,1.600,0.500
60,can2,5,0.000000,1198,1.600,0.500
60,can2,6,0.000000,1198,1.600,0.500
60,can3,13,0.004779,1198,1.600,0.500
60,can3,14,-0.001008,1198,1.600,0.500
60,can3,15,0.000141,1198,1.600,0.500
60,can3,16,0.002807,1198,1.600,0.500
61,can2,3,0.000000,1217,1.600,0.500
61,can2,4,0.000000,1217,1.600,0.500
61,can2,5,0.000000,1217,1.600,0.500
61,can2,6,0.000000,1217,1.600,0.500
61,can3,13,0.004858,1217,1.600,0.500
61,can3,14,-0.001025,1217,1.600,0.500
61,can3,15,0.000143,1217,1.600,0.500
61,can3,16,0.002853,1217,1.600,0.500
62,can2,3,0.000000,1237,1.600,0.500
62,can2,4,0.000000,1237,1.600,0.500
62,can2,5,0.000000,1237,1.600,0.500
62,can2,6,0.000000,1237,1.600,0.500
62,can3,13,0.004938,1237,1.600,0.500
62,can3,14,-0.001041,1237,1.600,0.500
62,can3,15,0.000146,1237,1.600,0.500
62,can3,16,0.002900,1237,1.600,0.500
63,can2,3,0.000000,1257,1.600,0.500
63,can2,4,0.000000,1257,1.600,0.500
63,can2,5,0.000000,1257,1.600,0.500
63,can2,6,0.000000,1257,1.600,0.500
63,can3,13,0.005018,1257,1.600,0.500
63,can3,14,-0.001058,1257,1.600,0.500
63,can3,15,0.000148,1257,1.600,0.500
63,can3,16,0.002947,1257,1.600,0.500
64,can2,3,0.000000,1277,1.600,0.500
64,can2,4,0.000000,1277,1.600,0.500
64,can2,5,0.000000,1277,1.600,0.500
64,can2,6,0.000000,1277,1.600,0.500
64,can3,13,0.005097,1277,1.600,0.500
64,can3,14,-0.001075,1277,1.600,0.500
64,can3,15,0.000151,1277,1.600,0.500
64,can3,16,0.002994,1277,1.600,0.500
65,can2,3,0.000000,1297,1.600,0.500
65,can2,4,0.000000,1297,1.600,0.500
65,can2,5,0.000000,1297,1.600,0.500
65,can2,6,0.000000,1297,1.600,0.500
65,can3,13,0.005177,1297,1.600,0.500
65,can3,14,-0.001092,1297,1.600,0.500
65,can3,15,0.000153,1297,1.600,0.500
65,can3,16,0.003041,1297,1.600,0.500
66,can2,3,0.000000,1317,1.600,0.500
66,can2,4,0.000000,1317,1.600,0.500
66,can2,5,0.000000,1317,1.600,0.500
66,can2,6,0.000000,1317,1.600,0.500
